id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name
4052,2614,PAGE,ACT,149.049796,-35.257315,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80101,Belconnen,801,Australian Capital Territory
4053,2614,SCULLIN,ACT,149.049796,-35.257315,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80101,Belconnen,801,Australian Capital Territory
4054,2614,WEETANGERA,ACT,149.049796,-35.257315,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80101,Belconnen,801,Australian Capital Territory
4055,2615,CHARNWOOD,ACT,149.029308,-35.215386,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
4056,2615,DUNLOP,ACT,149.029308,-35.215386,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
4057,2615,FLOREY,ACT,149.029308,-35.215386,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
4058,2615,FLYNN,ACT,149.029308,-35.215386,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
4059,2615,FRASER,ACT,149.029308,-35.215386,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
4060,2615,HIGGINS,ACT,149.029308,-35.215386,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
4061,2615,HOLT,ACT,149.029308,-35.215386,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
4062,2615,KIPPAX,ACT,149.029308,-35.215386,KIPPAX LPO,Delivery Area,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
4063,2615,KIPPAX CENTRE,ACT,149.029308,-35.215386,ACT and surrounding areas,,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
4064,2615,LATHAM,ACT,149.029308,-35.215386,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
4065,2615,MACGREGOR,ACT,149.029308,-35.215386,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
20563,2615,MACNAMARA,ACT,148.9770644,-35.2190829,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
4066,2615,MELBA,ACT,149.029308,-35.215386,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
4067,2615,SPENCE,ACT,149.029308,-35.215386,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
20564,2615,STRATHNAIRN,ACT,148.986288,-35.23269278,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80102,Cotter - Namadgi,801,Australian Capital Territory
4068,2616,BELCONNEN,ACT,149.070336,-35.248442,BELCONNEN,Post Office Boxes,Updated 25-Mar-2020 SA3,80105,North Canberra,801,Australian Capital Territory
4069,2617,BELCONNEN,ACT,149.086682,-35.231279,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
4070,2617,BELCONNEN DC,ACT,149.086682,-35.231279,ACT and surrounding areas,,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
4071,2617,BRUCE,ACT,149.086682,-35.231279,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
4072,2617,EVATT,ACT,149.086682,-35.231279,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
4073,2617,GIRALANG,ACT,149.086682,-35.231279,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
4074,2617,KALEEN,ACT,149.086682,-35.231279,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
4075,2617,LAWSON,ACT,149.086682,-35.231279,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
4076,2617,MCKELLAR,ACT,149.086682,-35.231279,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
4077,2617,UNIVERSITY OF CANBERRA,ACT,149.086682,-35.231279,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
4078,2618,HALL,ACT,149.043278,-35.135588,HALL,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
20566,2620,BEARD,ACT,149.2104515,-35.34172619,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
4090,2620,HUME,ACT,149.257101,-35.317402,QUEANBEYAN DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
4092,2620,KOWEN FOREST,ACT,149.257101,-35.317402,QUEANBEYAN DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
4095,2620,OAKS ESTATE,ACT,149.257101,-35.317402,QUEANBEYAN DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
4102,2620,THARWA,ACT,149.257101,-35.317402,QUEANBEYAN DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
4105,2620,TOP NAAS,ACT,149.257101,-35.317402,QUEANBEYAN DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
4994,2900,GREENWAY,ACT,149.063805,-35.41891,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
